               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.085265,            0.025805,            0.013397,           0.0066714,                   1,            0.014581,           0.0029866,            0.094358,            0.031792,            0.032701,            0.062941,          0.00094088,          0.00094088
                  39,             0.11568,            0.040449,            0.030562,           0.0066714,                   1,            0.014581,           0.0029866,            0.094358,            0.031792,            0.032701,            0.061888,          0.00088842,          0.00088842
                  40,             0.12061,            0.041219,            0.034834,           0.0066679,                   1,            0.015095,           0.0029782,            0.092755,            0.031782,            0.032363,            0.060832,            0.000832,            0.000832
                  41,             0.11545,            0.053356,            0.030197,           0.0066679,                   1,            0.015095,           0.0029782,            0.092755,            0.031782,            0.032363,            0.059772,          0.00077162,          0.00077162
                  42,            0.096311,             0.03322,            0.028574,            0.006667,                   1,            0.017939,           0.0029799,            0.089856,            0.031696,            0.032084,            0.058707,          0.00070728,          0.00070728
                  43,             0.09541,            0.033895,            0.025874,            0.006667,                   1,            0.017939,           0.0029799,            0.089856,            0.031696,            0.032084,            0.057639,          0.00063898,          0.00063898
                  44,             0.10837,             0.05749,            0.031764,           0.0066741,                   1,            0.020196,           0.0020196,            0.088225,            0.031531,            0.031787,            0.056567,          0.00056672,          0.00056672
                  45,             0.10983,            0.029825,            0.033473,           0.0066741,                   1,            0.020196,           0.0020196,            0.088225,            0.031531,            0.031787,             0.05549,           0.0004905,           0.0004905
                  46,             0.10581,             0.03028,            0.031424,           0.0034483,                 0.5,             0.02369,            0.002369,            0.087685,            0.031596,            0.031584,             0.05441,          0.00041032,          0.00041032
                  47,             0.11222,             0.04679,             0.03165,           0.0034483,                 0.5,             0.02369,            0.002369,            0.087685,            0.031596,            0.031584,            0.053326,          0.00032618,          0.00032618
                  48,             0.10112,            0.037455,            0.030894,           0.0066812,                   1,            0.041848,           0.0041848,            0.087383,            0.031337,             0.03101,            0.052238,          0.00023808,          0.00023808
                  49,            0.099755,            0.037926,            0.029353,           0.0066812,                   1,            0.041848,           0.0041848,            0.087383,            0.031337,             0.03101,            0.051146,          0.00014602,          0.00014602
